,Unnamed: 0,Tweet,StopwordRemoval,Casefolding,Normalize,RemoveEmoticon,Stemming,HasilPreprocess,HasilProcess_lr,HasilProcess_svm,HasilProcess_dt,HasilProcess_nb,HasilProcess_stacking
10,10,"Bisa gak kita seperti Jokowi dan Ahok? Aku kalem, kamu tegas saling melengkapi. :')","Bisa gak Jokowi Ahok? Aku kalem, melengkapi. :')","bisa gak kita sepe i jokowi dan ahok? aku kalem, kamu tegas saling melengkapi. ')","Bisa tidak kita seperti Jokowi dan Ahok? Aku kalem, kamu tegas saling melengkapi. :')","Bisa gak kita seperti Jokowi dan Ahok? Aku kalem, kamu tegas saling melengkapi. :')",bisa gak kita seperti jokowi dan ahok aku kalem kamu tegas saling lengkap,tidak sepe i jokowi ahok kalem lengkap,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
11,11,"Bos mau makan di istana ga, Di undang noh makan di istana Gebang tapinya https:\/\/t.co\/ns6cUYCpUj","Bos makan istana ga, Di undang noh makan istana Gebang tapinya https:\/\/t.co\/ns6cUYCpUj","bos mau makan di istana ga, di undang noh makan di istana gebang tapinya https \/\/t.co\/nscuycpuj","Bos mau makan di istana ga, Di undang itu makan di istana Gebang tapinya https:\/\/t.co\/ns6cUYCpUj","Bos mau makan di istana ga, Di undang noh makan di istana Gebang tapinya https: / /t.co /ns6cUYCpUj",bos mau makan di istana ga di undang noh makan di istana gebang tapi https t co ns6cuycpuj,bos makan istana ga undang itu makan istana gebang tapi hypertext transfer protocol over secure socket layer t co nscuycpuj,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
12,12,Cuti Habis Ahok Jadi Gubernur DKI Lagi? Pengamat: Jangan Mengada-ada | Republika Online https:\/\/t.co\/T3kzvq9E4e,Cuti Habis Ahok Jadi Gubernur DKI Lagi? Pengamat: Jangan Mengada-ada | Republika Online https:\/\/t.co\/T3kzvq9E4e,cuti habis ahok jadi gubernur dki lagi? pengamat jangan mengada-ada | republika online https \/\/t.co\/tkzvqee,Cuti Habis Ahok Jadi Gubernur DKI Lagi? Pengamat: Jangan Mengada-ada | Republika Online https:\/\/t.co\/T3kzvq9E4e,Cuti Habis Ahok Jadi Gubernur DKI Lagi? Pengamat: Jangan Mengada-ada | Republika Online https: / /t.co /T3kzvq9E4e,cuti habis ahok jadi gubernur dki lagi amat jangan ada republika online https t co t3kzvq9e4e,cuti habis ahok gubernur daerah khusus ibukota lagi amat ada republika online hypertext transfer protocol over secure socket layer t co tkzvqee,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
13,13,Debat terakhir Pilkada DKI Jakarta digelar Jumat malam. https:\/\/t.co\/e9ixz6Jllr,Debat Pilkada DKI Jakarta digelar Jumat malam. https:\/\/t.co\/e9ixz6Jllr,debat terakhir pilkada dki jaka a digelar jumat malam. https \/\/t.co\/eixzjllr,Debat terakhir Pilkada DKI Jakarta digelar Jumat malam. https:\/\/t.co\/e9ixz6Jllr,Debat terakhir Pilkada DKI Jakarta digelar Jumat malam. https: / /t.co /e9i Jllr,debat akhir pilkada dki jakarta gelar jumat malam https t co e9ixz6jllr,debat pilih kepala daerah daerah khusus ibukota jaka a gelar jumat malam hypertext transfer protocol over secure socket layer t co ei llr,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
14,14,Demonstran FPD Malteng Desak Bawaslu Hentikan Sementara Tahapan Pilkada Maluku Tengah,Demonstran FPD Malteng Desak Bawaslu Hentikan Sementara Tahapan Pilkada Maluku Tengah,demonstran fpd malteng desak bawaslu hentikan sementara tahapan pilkada maluku tengah,Demonstran FPD Malteng Desak Bawaslu Hentikan Sementara Tahapan Pilkada Maluku Tengah,Demonstran FPD Malteng Desak Bawaslu Hentikan Sementara Tahapan Pilkada Maluku Tengah,demonstran fpd malteng desak bawaslu henti sementara tahap pilkada malu tengah,demonstran fpd malteng desak badan awas pilih umum henti tahap pilih kepala daerah malu,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
15,15,"Dulu Didesak Berhentikan Ahok Ngeles Usai Masa Cuti Pilkada, Sekarang Kampanye Mau Habis Kemendagri Ragu-ragu https:\/\/t.co\/92ss4trDcX","Dulu Didesak Berhentikan Ahok Ngeles Usai Masa Cuti Pilkada, Sekarang Kampanye Mau Habis Kemendagri Ragu-ragu https:\/\/t.co\/92ss4trDcX","dulu didesak berhentikan ahok ngeles usai masa cuti pilkada, sekarang kampanye mau habis kemendagri ragu-ragu https \/\/t.co\/sstrdcx","Dulu Didesak Berhentikan Ahok Ngeles Usai Masa Cuti Pilkada, Sekarang Kampanye Mau Habis Kemendagri Ragu-ragu https:\/\/t.co\/92ss4trDcX","Dulu Didesak Berhentikan Ahok Ngeles Usai Masa Cuti Pilkada, Sekarang Kampanye Mau Habis Kemendagri Ragu-ragu https: / /t.co /92ss4trDcX",dulu desak henti ahok ngeles usai masa cuti pilkada sekarang kampanye mau habis kemendagri ragu https t co 92ss4trdcx,desak henti ahok ngeles cuti pilkada kampanye habis menteri dalam negeri ragu hypertext transfer protocol over secure socket layer t co sstrdcx,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
16,16,"Gila gara2 pilkada, beberapa tokoh menampakkan watak aslinya.","Gila gara2 pilkada, tokoh menampakkan watak aslinya.","gila gara pilkada, beberapa tokoh menampakkan watak aslinya.","Gila gara gara pilkada, beberapa tokoh menampakkan watak aslinya.","Gila gara2 pilkada, beberapa tokoh menampakkan watak aslinya.",gila gara2 pilkada beberapa tokoh tampak watak asli,gila gara pilkada tokoh tampak watak asli,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
17,17,Gontor Izinkan Santrinya Pulang Kampung Nyoblos Pilkada DKI | Republika Online https:\/\/t.co\/JhNOT8ecNz,Gontor Izinkan Santrinya Pulang Kampung Nyoblos Pilkada DKI | Republika Online https:\/\/t.co\/JhNOT8ecNz,gontor izinkan santrinya pulang kampung nyoblos pilkada dki | republika online https \/\/t.co\/jhnotecnz,Gontor Izinkan Santrinya Pulang Kampung Nyoblos Pilkada DKI | Republika Online https:\/\/t.co\/JhNOT8ecNz,Gontor Izinkan Santrinya Pulang Kampung Nyoblos Pilkada DKI | Republika Online https: / /t.co /JhNOT8ecNz,gontor izin santri pulang kampung nyoblos pilkada dki republika online https t co jhnot8ecnz,gontor izin santri pulang kampung coblos pilih kepala daerah daerah khusus ibukota republika online hypertext transfer protocol over secure socket layer t co jhnotecnz,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
18,18,"Gubernur non-aktif DKI Jakarta, Basuki Tjahaja Purnama atau Ahok, berencana merombak struktur jabatan pegawai... https:\/\/t.co\/cdKEZxF9xO","Gubernur non-aktif DKI Jakarta, Basuki Tjahaja Purnama Ahok, berencana merombak struktur jabatan pegawai... https:\/\/t.co\/cdKEZxF9xO","gubernur non-aktif dki jaka a, basuki tjahaja purnama atau ahok, berencana merombak struktur jabatan pegawai... https \/\/t.co\/cdkezxfxo","Gubernur non-aktif DKI Jakarta, Basuki Tjahaja Purnama atau Ahok, berencana merombak struktur jabatan pegawai... https:\/\/t.co\/cdKEZxF9xO","Gubernur non-aktif DKI Jakarta, Basuki Tjahaja Purnama atau Ahok, berencana merombak struktur jabatan pegawai... https: / /t.co /cdKEZ xO",gubernur non-aktif dki jakarta basuki tjahaja purnama atau ahok rencana rombak struktur jabat pegawai https t co cdkezxf9xo,gubernur non-aktif daerah khusus ibukota jaka a basuki tjahaja purnama ahok rencana rombak struktur jabat pegawai hypertext transfer protocol over secure socket layer t co cdkez o,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
19,19,HEBAT .. !!! Imam Besar Masjid Istiqlal : Kalimat Ahok 100% Tidak Ada Penistaan AGAMA .. !! SEBARKAN,HEBAT .. !!! Imam Besar Masjid Istiqlal : Kalimat Ahok 100% Tidak Ada Penistaan AGAMA .. !! SEBARKAN,hebat .. !!! imam besar masjid istiqlal kalimat ahok % tidak ada penistaan agama .. !! sebarkan,HEBAT .. !!! Imam Besar Masjid Istiqlal : Kalimat Ahok 100% Tidak Ada Penistaan AGAMA .. !! SEBARKAN,HEBAT .. !!! Imam Besar Masjid Istiqlal : Kalimat Ahok 100% Tidak Ada Penistaan AGAMA .. !! SEBARKAN,hebat imam besar masjid istiqlal kalimat ahok 100 tidak ada nista agama sebar,hebat imam masjid istiqlal kalimat ahok nista agama sebar,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
20,20,"Ibu2 aja, kalo beli telor pake milih2 sblm ditimbang. Pdh telor kan mirip2. Ibu2 itu tahu, telor ada yg busuk","Ibu2 aja, kalo beli telor pake milih2 sblm ditimbang. Pdh telor mirip2. Ibu2 tahu, telor yg busuk","ibu aja, kalo beli telor pake milih sblm ditimbang. pdh telor kan mirip. ibu itu tahu, telor ada yg busuk","Ibu2 aja, kalau beli telur pakai pilih pilih sebelum ditimbang. Pdh telur kan mirip2. Ibu2 itu tahu, telur ada yang busuk","Ibu2 aja, kalo beli telor pake milih2 sblm ditimbang. Pdh telor kan mirip2. Ibu2 itu tahu, telor ada yg busuk",ibu2 aja kalo beli telor pake milih2 sblm timbang pdh telor kan mirip2 ibu2 itu tahu telor ada yg busuk,aja kalau beli telur pakai pilih belum timbang pdh telur mirip tahu telur yang busuk,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
21,21,Ini Jawaban Ahok Saat Ditanya Terkait Persiapan Debat Pilgub Terakhir Besok https:\/\/t.co\/S6rlsAR7Y9,Ini Jawaban Ahok Saat Ditanya Terkait Persiapan Debat Pilgub Terakhir Besok https:\/\/t.co\/S6rlsAR7Y9,ini jawaban ahok saat ditanya terkait persiapan debat pilgub terakhir besok https \/\/t.co\/srlsary,Ini Jawaban Ahok Saat Ditanya Terkait Persiapan Debat Pilgub Terakhir Besok https:\/\/t.co\/S6rlsAR7Y9,Ini Jawaban Ahok Saat Ditanya Terkait Persiapan Debat Pilgub Terakhir Besok https: / /t.co /S6rlsAR7Y9,ini jawab ahok saat tanya kait siap debat pilgub akhir besok https t co s6rlsar7y9,ahok kait siap debat pilih gubernur besok hypertext transfer protocol over secure socket layer t co srlsary,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
22,22,Ini Pesan Ahok di Hari Pers Nasional #KitaPastiPernah https:\/\/t.co\/h0L6mrjM3R,Ini Pesan Ahok Hari Pers Nasional #KitaPastiPernah https:\/\/t.co\/h0L6mrjM3R,ini pesan ahok di hari pers nasional #kitapastipernah https \/\/t.co\/hlmrjmr,Ini Pesan Ahok di Hari Pers Nasional #KitaPastiPernah https:\/\/t.co\/h0L6mrjM3R,Ini Pesan Ahok di Hari Pers Nasional #KitaPastiPernah https: / /t.co /h0L6mrjM3R,ini pesan ahok di hari pers nasional kitapastipernah https t co h0l6mrjm3r,pesan ahok pers nasional kitapastipernah hypertext transfer protocol over secure socket layer t co hlmrjmr,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
23,23,Istighotsah Bersama Ahok Catut Logo NU https:\/\/t.co\/U2rPY3C25R,Istighotsah Bersama Ahok Catut Logo NU https:\/\/t.co\/U2rPY3C25R,istighotsah bersama ahok catut logo nu https \/\/t.co\/urpycr,Istighotsah Bersama Ahok Catut Logo NU https:\/\/t.co\/U2rPY3C25R,Istighotsah Bersama Ahok Catut Logo NU https: / /t.co /U2rPY3C25R,istighotsah sama ahok catut logo nu https t co u2rpy3c25r,istighotsah ahok catut logo nu hypertext transfer protocol over secure socket layer t co urpycr,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
24,24,Itu yang ngomong jangan pilih Ahok Djarot pernah ngerasain banjir ga sih? :(,Itu ngomong pilih Ahok Djarot ngerasain banjir ga sih? :(,itu yang ngomong jangan pilih ahok djarot pernah ngerasain banjir ga sih? (,Itu yang berbicara jangan pilih Ahok Djarot pernah merasakan banjir tidak sih? :(,Itu yang ngomong jangan pilih Ahok Djarot pernah ngerasain banjir ga sih? :(,itu yang ngomong jangan pilih ahok djarot pernah ngerasain banjir ga sih,bicara pilih ahok djarot rasa banjir tidak sih,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,adalah ujaran kebencian
25,25,Iya aja deh dripada hoax...,Iya aja deh dripada hoax...,iya aja deh dripada hoax...,Iya saja deh daripada hoax...,Iya aja deh dripada hoa .,iya aja deh dripada hoax,iya saja deh daripada hoa,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
26,26,Jadi teringat para pelacur.belia yg dijual orang tuanya.sendiri di pantura.demi sesuap nasi https:\/\/t.co\/X5DdR7m693,Jadi pelacur.belia yg dijual orang tuanya.sendiri pantura.demi sesuap nasi https:\/\/t.co\/X5DdR7m693,jadi teringat para pelacur.belia yg dijual orang tuanya.sendiri di pantura.demi sesuap nasi https \/\/t.co\/xddrm,Jadi teringat para pelacur.belia yang dijual orang tuanya.sendiri di pantura.demi sesuap nasi https:\/\/t.co\/X5DdR7m693,Jadi teringat para pelacur.belia yg dijual orang tuanya.sendiri di pantura.demi sesuap nasi https: / /t.co /X5DdR7m693,jadi ingat para lacur belia yg jual orang tua sendiri di pantura demi suap nasi https t co x5ddr7m693,lacur belia yang jual orang tua sendiri pantura demi suap nasi hypertext transfer protocol over secure socket layer t co rm,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
27,27,jadi yg nyebar hoax ketahuan dong ada akun twitter nya lho,yg nyebar hoax ketahuan akun twitter nya lho,jadi yg nyebar hoax ketahuan dong ada akun twitter nya lho,jadi yang menyebar hoaks ketahuan dong ada akun twitter nya lo,jadi yg nyebar hoa etahuan dong ada akun twitter nya lho,jadi yg nyebar hoax tahu dong ada akun twitter nya lho,yang sebar hoa etahuan akun twitter nya lo,adalah ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,adalah ujaran kebencian
28,28,Mpok @sylviana_murni-nya tolong Mas @AgusYudhoyono,Mpok @sylviana_murni-nya tolong Mas @AgusYudhoyono,mpok sylviana_murni-nya tolong mas agusyudhoyono,Mpok @sylviana_murni-nya tolong Mas @AgusYudhoyono,Mpok @sylviana_murni-nya tolong Mas @AgusYudhoyono,mpok sylviana murni tolong mas agusyudhoyono,empok sylviana murni tolong mas agusyudhoyono,adalah ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
29,29,Ke Bidara beli mangga. Pulang nye liwat Slipi. Jangan lupa ingetin tetangga. Untuk milih Agus sylvi. #7HariLagiMilihAHY #AgusBersamaUlama,Ke Bidara beli mangga. Pulang nye liwat Slipi. Jangan lupa ingetin tetangga. Untuk milih Agus sylvi. #7HariLagiMilihAHY #AgusBersamaUlama,ke bidara beli mangga. pulang nye liwat slipi. jangan lupa ingetin tetangga. untuk milih agus sylvi. #harilagimilihahy #agusbersamaulama,Ke Bidara beli mangga. Pulang nya liwat Slipi. Jangan lupa ingatkan tetangga. Untuk memilih Agus sylvi. #7HariLagiMilihAHY #AgusBersamaUlama,Ke Bidara beli mangga. Pulang nye liwat Slipi. Jangan lupa ingetin tetangga. Untuk milih Agus sylvi. #7HariLagiMilihAHY #AgusBersamaUlama,ke bidara beli mangga pulang nye liwat slip jangan lupa ingetin tetangga untuk milih agus sylvi 7harilagimilihahy agusbersamaulama,bidara beli mangga pulang nya liwat slip lupa ingat tetangga pilih agus sylvi harilagimilihahy agusbersamaulama,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
30,30,Serius tapi ada selipan hiburannya \ud83d\ude06\ud83d\ude06\ud83d\ude06 #pilkadadki2017 #DebatFinalPilkadaJKT,Serius selipan hiburannya \ud83d\ude06\ud83d\ude06\ud83d\ude06 #pilkadadki2017 #DebatFinalPilkadaJKT,serius tapi ada selipan hiburannya \udd\ude\udd\ude\udd\ude #pilkadadki #debatfinalpilkadajkt,Serius tapi ada selipan hiburannya \ud83d\ude06\ud83d\ude06\ud83d\ude06 #pilkadadki2017 #DebatFinalPilkadaJKT,Serius tapi ada selipan hiburannya ud83d ude06 ud83d ude06 ud83d ude06 #pilkadadki2017 #DebatFinalPilkadaJKT,serius tapi ada selip hibur ud83d ude06 ud83d ude06 ud83d ude06 pilkadadki2017 debatfinalpilkadajkt,serius selip hibur sudah ude sudah ude sudah ude pilkadadki debatfinalpilkadajkt,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
